P,Depth,Task Depth,Execution Time (seconds)
8,6,3,6.654468774795532
8,6,2,7.8805906772613525
8,6,1,6.42845344543457
7,6,3,7.364760398864746
7,6,2,8.538483619689941
7,6,1,8.180584192276001
6,6,1,9.10518503189087
6,6,2,8.855868101119995
6,6,3,8.6364381313323975
5,6,3,8.73556113243103
5,6,2,9.818089962005615
5,6,1,12.88725209236145
4,6,1,14.080454778671265
4,6,2,10.711955976486206
4,6,3,10.475709915161133
3,6,3,11.771966695785522
3,6,2,11.902371644973755
3,6,1,14.279653787612915
2,6,1,18.500661611557007
2,6,2,16.61752700805664
2,6,3,16.2672700881958
1,6,3,23.65759015083313
1,6,2,23.557743310928345
1,6,1,25.873852491378784
