N,Time (s),L,M
1073741824,247.31488490104675,,
1073741824,2.7986886501312256,8,64
1073741824,2.898050546646118,16,64
1073741824,3.037336826324463,32,64
1073741824,3.0286991596221924,64,64
1073741824,0.8513743877410889,8,128
1073741824,1.962754249572754,16,128
1073741824,1.011765718460083,32,128
1073741824,2.015730857849121,64,128
1073741824,0.4271879196166992,8,256
1073741824,0.4749729633331299,16,256
1073741824,0.5082981586456299,32,256
1073741824,0.5079469680786133,64,256
1073741824,0.21988677978515625,8,512
1073741824,0.242783784866333,16,512
1073741824,0.2546803951263428,32,512
1073741824,0.2560269832611084,64,512
1073741824,0.11043691635131836,8,1024
1073741824,0.12328791618347168,16,1024
1073741824,0.13098978996276855,32,1024
1073741824,0.1293187141418457,64,1024
1073741824,0.05580449104309082,8,2048
1073741824,0.0641469955444336,16,2048
1073741824,0.06973981857299805,32,2048
1073741824,0.0669546127319336,64,2048
1073741824,0.03684568405151367,8,4096
1073741824,0.03439974784851074,16,4096
1073741824,0.0360865592956543,32,4096
1073741824,0.0357363224029541,64,4096
1073741824,0.033399105072021484,8,8192
1073741824,0.029015302658081055,16,8192
1073741824,0.032389163970947266,32,8192
1073741824,0.032024383544921875,64,8192
1073741824,0.03322911262512207,8,16384
1073741824,0.025546550750732422,16,16384
1073741824,0.02601170539855957,32,16384
1073741824,0.02499079704284668,64,16384
